School Name,Latitude,Longitude,Curriculum,Grades,Year Established in Dubai,2023/24 Enrollments,Average Tuition,Max Tuition
Sheikh Rashid Bin Saeed Islamic Institute,25.103064,55.410163,Ministry of Education,G5-G12,2003,209,0,0
Smart Vision School,25.1082069,55.2118224,UK,FS1-Y7,2014,425,57966.8,76020
South View School L.L.C,25.00497055,55.24433136,UK,FS1-Y12,2018,1166,53966.13333,64992
Springdales School L.L.C,25.15000916,55.2533989,Indian - UK,Pre Primary-G12,2011,1358,28618.17647,46350
Springfield International School,25.1741804,55.53736598,UK,FS1-Y6,2024,,28450,30800
ST. Mary Catholic High School - Dubai,25.2403698,55.31762695,UK,Y1-Y13,1968,1074,9929.153846,14917
ST. Mary Catholic High School - Dubai Muhaisnah Branch,25.28038025,55.4082489,UK,FS1-Y11,2015,1991,16119.28571,23312
Star International School,25.259086,55.385236,UK,FS1-Y13,2000,643,39626.53333,69769
Star International School (Branch),25.223019,55.417214,UK,FS1-Y12,2008,1044,51694.6,71820
Sunmarke School L.L.C,25.04754066,55.19372177,UK,FS1-Y13,2016,1962,82494.73333,104030
Swiss International FZ-LLC,25.2085495,55.331629,International Baccalaureate,Pre Primary-G12,2015,2155,100294.8,134574
The Apple International Community School,25.2444706,55.30113983,UK,FS1-Y9,2021,1025,21070.72727,23500
The Aquila School,25.08654022,55.38628006,UK,FS1-Y11,2018,1131,60160.92857,76088
The Arbor School L.L.C,25.02363968,55.13750076,UK,FS1-Y11,2018,1240,78312.57143,95000
The Central School,25.29253769,55.37539673,Indian,KG1-G12,1981,3598,5234.857143,7183
The City School International Private,25.193606,55.388731,UK,FS1-Y13,1989,1006,19740.46667,34874
The English College Dubai L.L.C,25.16905,55.237469,UK,FS1-Y13,1992,1335,56891.6,66698
The Indian Academy,25.25753403,55.38636017,Indian,Pre Primary -G12,2012,1571,17630.73333,23249
The Indian High School,25.240542,55.315133,Indian,G5-G12,1972,5303,7911.125,10465
The Indian High School-Branch,25.24843597,55.34057999,Indian,KG1-G4,1988,4178,7664.571429,21000
The Indian International School (Dso Branch),25.11587334,55.37596512,Indian,Pre-primary-G10,2011,3143,12570.07143,21000
